elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000007,0.0000,14504592,
0.278152,37.8000,14528279,85160.594748
0.511159,59.7000,14542342,60354.360062
0.744988,51.1000,14557400,64397.546806
0.996464,48.5000,14571558,56299.542679
1.244429,40.7000,14577881,25499.580970
1.591863,35.9000,14587478,27622.508988
1.810709,70.3000,14602510,68687.619133
2.034977,124.3000,14629475,120235.504806
2.257854,102.1000,14643845,64475.085905
2.491837,63.0000,14653934,43118.509813
2.774731,62.2000,14670225,57586.913308
3.017459,63.8000,14684684,59568.736622
3.245593,57.9000,14702413,77713.126765
3.477359,61.1000,14713716,48768.969910
3.704763,50.9000,14729088,67597.791455
3.975233,57.6000,14742239,48622.785042
4.259903,48.3000,14753773,40517.073665
4.489385,64.3000,14770406,72480.650661
4.765252,50.5000,14783213,46424.547632
4.995471,51.6000,14796578,58053.386992
5.239593,47.9000,14813775,70444.346671
5.494520,54.6000,14825261,45056.007662
5.729040,52.6000,14837285,51270.689613
5.975948,47.9000,14856647,78417.888299
6.233677,61.7000,14874457,69103.578965
6.506379,67.7000,14890929,60402.935393
6.735562,60.8000,14907029,70249.551267
6.991466,51.5000,14917495,40898.155815
7.222995,56.6000,14928565,47812.585565
7.471414,63.1000,14944980,66077.864148
7.737685,53.0000,14964324,72647.759962
7.955637,144.1000,14994478,138351.706728
