run_id,throughput,p99,cpu_mean,cpu_max,trace_throughput_mean,trace_throughput_max,trace_samples
1,48785.35884712011,81437.0,47.555,118.9,49042.495170307695,92671.866515,40
2,46895.007926103055,88816.0,45.30930232558139,95.5,46972.43032626191,95149.141793,43
3,48021.167300276305,89431.0,44.735897435897435,85.6,49423.62256844737,90164.262663,39
4,47678.53921008236,87351.0,43.915,91.4,47247.77667366667,79504.010872,40
5,92858.36542448627,45132.0,132.4181818181818,274.1,99532.71594804761,182513.589815,22
6,50086.47847896714,83433.0,45.63076923076923,99.4,50071.648717131575,78488.448291,39
7,50343.514777793374,90874.0,53.12777777777777,166.8,50083.792184514285,148260.771654,36
8,50408.89948956929,76796.0,46.58947368421053,83.8,50625.872676459454,96570.46448,38
9,47643.33584378881,90038.0,48.53846153846154,116.2,49680.92447352632,106868.449146,39
10,53190.138652830115,94273.0,67.38823529411764,240.6,59433.558957151516,169549.056867,34
11,50335.42290931055,85291.0,46.617948717948714,88.1,49346.219573526316,98132.40179,39
12,87544.35103092341,48480.0,108.072,269.1,86546.80060920834,204768.391566,25
13,48313.730467903944,83093.0,47.79,116.7,48898.57197528205,88732.543935,40
14,62630.2179394786,67553.0,62.509090909090915,256.0,61529.421312875,187364.875947,33
15,62332.90489175919,63186.0,58.14411764705883,124.7,62628.91769675758,105139.801427,34
16,57659.84538416361,65518.0,55.67428571428571,159.6,59614.07568061765,141378.957791,35
17,61503.485858079395,64721.0,63.42727272727272,138.9,63483.09246659375,122630.473602,33
18,63024.65913023124,63297.0,65.2741935483871,151.3,67086.13184713334,134418.088026,31
19,59637.06275140956,67750.0,56.8235294117647,118.8,60694.79427178788,109250.231276,34
20,62976.79519973715,68032.0,58.045161290322575,139.7,63337.7330266,131858.8876,31
21,68515.321262612,58788.0,80.79655172413793,271.6,74050.59832839287,204943.979504,29
22,61780.06171038753,63827.0,59.584848484848486,151.9,63721.38531975,126403.275087,33
23,114139.81704662142,41414.0,150.18095238095236,326.0,108733.08339235,200947.640812,21
24,58291.2424286229,69349.0,55.24,111.0,60160.33851835294,99749.414419,35
25,93615.16085697123,48320.0,93.64166666666667,312.2,87972.57068095652,203618.73731,24
26,60472.559794889174,66663.0,57.934285714285714,113.1,61068.65291238235,112756.473474,35
27,66394.27064658023,61696.0,58.246875,118.3,65116.41602667742,128984.30447,32
28,61781.40079166687,62293.0,60.290625,134.6,62617.74504806451,133025.972821,32
29,61596.34138614695,64132.0,64.07272727272728,145.6,62994.21828925,124934.252749,33
30,60931.85351876041,68957.0,59.487878787878785,144.1,62622.434564062496,138351.706728,33
