elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000012,0.0000,9502146,
0.247625,56.4000,9534796,131858.887600
0.517501,56.2000,9546636,43871.999943
0.762631,59.7000,9564817,74168.861735
0.999939,61.4000,9581202,69045.283973
1.281781,57.0000,9596788,55300.488816
1.519843,59.8000,9610263,56602.924375
1.796487,90.3000,9637797,99528.553374
2.020367,139.7000,9664560,119541.818015
2.265793,86.5000,9673683,37172.109910
2.497339,59.8000,9682761,39206.004800
2.729085,57.4000,9694252,49584.467763
3.024262,46.7000,9714445,68409.805544
3.289382,64.7000,9732441,67878.688899
3.573001,50.6000,9751023,65517.434171
3.856076,50.8000,9762859,41812.297087
4.108331,54.8000,9780887,71467.374878
4.331996,47.9000,9795721,66322.331403
4.599741,52.2000,9815777,74907.089400
4.888467,60.2000,9831855,55685.996104
5.171659,47.9000,9847311,54577.874429
5.433101,57.0000,9863231,60893.004064
5.665745,50.3000,9871042,33574.892439
5.890038,46.8000,9880845,43706.271272
6.143067,46.6000,9897788,66960.675516
6.401969,54.9000,9916386,71834.110060
6.669810,60.2000,9929747,49884.054260
6.899815,66.1000,9948575,81859.080815
7.133065,53.3000,9957674,39009.662571
7.379158,52.3000,9969843,49448.826547
7.631963,51.9000,9985138,60501.121035
