core_setup,strategy,clients,throughput_mean,throughput_stddev,throughput_cv,p99_mean_us,p99_stddev_us,p99_cv,total_errors,throughput_overhead_pct_vs_disabled,p99_increase_pct_vs_disabled
4-core,disabled,100,143632.36937665023,12448.673604600808,0.0866703909336508,1741.6666666666667,626.2981185771944,0.3595970058816427,0,0.0,0.0
4-core,disabled,500,125881.07442155688,45951.42815120637,0.3650384171120268,4109.0,871.3374776744083,0.21205584757225804,0,0.0,0.0
4-core,disabled,1000,128389.01593061798,1508.3822576947389,0.011748530407849497,5285.0,398.9824557546359,0.07549336911156782,0,0.0,0.0
4-core,global_mutex,100,138056.73360668088,25613.599661088883,0.1855295210305438,1727.3333333333333,772.5945465335187,0.4472758856813115,0,3.881879686429346,-0.8229665071770476
4-core,global_mutex,500,114389.19753037416,34969.32389140353,0.3057047749820782,3441.0,158.18659867384468,0.045971112663134174,0,9.129153801705048,-16.25699683621319
4-core,global_mutex,1000,105088.07497726758,18144.919320292538,0.17266392332543543,5521.666666666667,820.7955490457617,0.14864996360623514,0,18.14870281889406,4.478082623778001
4-core,sharded,100,90411.05592983919,39952.24536113887,0.44189557295008947,4952.666666666667,3063.4309741421193,0.6185417231408237,0,37.05384355753936,184.36363636363637
4-core,sharded,500,106670.78138468704,57129.70483423615,0.5355703229379111,9307.666666666666,8193.051954756136,0.8802476762621642,0,15.260668154561063,126.51902328222597
4-core,sharded,1000,91352.13369526267,35453.36673680611,0.3880956612909923,20179.666666666668,26596.987993630657,1.3180092829563086,0,28.847391629958608,281.82907600126146
4-core,thread_local,100,82123.91441166503,30970.989766953597,0.3771251040434383,9815.0,9161.582668949726,0.9334266601069512,0,42.8235329069106,463.5406698564593
4-core,thread_local,500,38272.13642384214,43719.025176451614,1.142319955496821,38717.0,63943.606584239526,1.6515640825539046,15960,69.59659218058906,842.2487223168654
4-core,thread_local,1000,0.0,0.0,0.0,0.0,0.0,0.0,30000,100.0,-100.0
8-core,disabled,100,136655.09409362884,14670.270900407146,0.10735253594246441,1920.0,831.384989039374,0.43301301512467394,0,0.0,0.0
8-core,disabled,500,136904.7322291715,15681.261160256126,0.11454141069431041,5399.0,1054.6715128417948,0.1953457145474708,0,0.0,0.0
8-core,disabled,1000,97064.91932480625,39319.73380966417,0.405086967394362,6293.666666666667,509.5138205518407,0.0809565945477211,0,0.0,0.0
8-core,global_mutex,100,135929.94329616462,21008.12162164226,0.15455109530848324,1676.6666666666667,480.21904724129104,0.28641295064092903,0,0.5306430779429161,-12.673611111111105
8-core,global_mutex,500,116518.5337978276,23648.43140885644,0.20295853919591073,6698.333333333333,4937.9178135458405,0.737186038349715,0,14.890791647156831,24.06618509600542
8-core,global_mutex,1000,117447.34732288064,14885.43026131188,0.1267413066417717,5506.666666666667,503.51001314108277,0.09143644306436127,0,-20.998758500863858,-12.50463428843811
8-core,sharded,100,132813.10633823962,24009.247811582347,0.18077468763088173,2216.6666666666665,973.9000633192984,0.4393534120237437,0,2.8114486187810095,15.451388888888884
8-core,sharded,500,126927.28746484643,32057.34168863554,0.25256461655271795,4306.666666666667,795.9505847308194,0.18481824722851842,0,7.287874277145756,-20.232141754645916
8-core,sharded,1000,103494.08939902892,9051.529775810644,0.08745938853485458,7680.666666666667,2505.7394783443337,0.3262398418120389,0,-6.623577414934911,22.03802764684073
8-core,thread_local,100,133243.34166601693,19785.68766392807,0.14849288089398252,1920.6666666666667,852.3358101906392,0.44377081405274516,0,2.4966156221548186,0.03472222222222765
8-core,thread_local,500,17860.394924880107,17564.45520898297,0.9834303934967931,71060.0,87990.31083022722,1.238253740926361,15980,86.95414348790901,1216.1696610483423
8-core,thread_local,1000,11.255587532529661,19.495249475380188,1.7320508075688774,72800.0,126093.29879101427,1.7320508075688774,29980,99.98840406234217,1056.7183941528522
